0,0
1.48731,1.48731
1.5504,1.538
1.52496,-1.38802
1.54606,1.51372
1.53399,1.49903
1.52821,1.50423
1.51852,0.583373
1.49753,-1.51903
1.48034,-1.49793
1.49467,-1.36386
1.50719,0.3389
1.49395,1.11438
0.165149,-1.54624
1.47566,-1.50475
-1.13425,-1.52449
1.06133,-1.49101
1.3483,-1.46161
1.28514,-1.43285
-1.10615,-1.51056
1.52305,-1.36782
1.51209,-1.2348
1.48183,-0.380506
1.43763,-1.31152
1.27656,-1.49609
0.583373,-1.49373
-0.175324,-1.47463
1.36623,-1.41975
-1.04918,-1.51887
1.26063,-1.44736
1.20168,-1.39902
-1.27056,-1.5036
-1.40692,-1.50278
1.48214,-1.40663
-0.0897582,-1.48353
1.33156,-1.37673
1.32987,-1.3223
0.993888,-1.29706
-1.17452,-1.51757
-1.24294,-1.491
-0.397628,-1.45337
-1.34298,-1.51474
1.51302,-1.38052
-0.830713,-1.51951
-1.37531,-1.50922
1.43859,-1.45099
-0.677782,-1.4617
1.53512,-0.973082
1.53778,1.20219
1.49964,-1.50918
1.19607,-1.53948
0.382229,-1.52094
1.51272,-1.46882
1.41338,-1.45685
-0.916492,-1.53088
-1.05707,-1.50544
-1.36868,-1.48989
1.5343,-1.40352
1.48253,-1.36498
1.46474,-1.09001
1.28945,-1.50117
-1.35501,-1.54352
1.38045,-1.50731
1.50137,-1.44417
-1.41227,-1.54943
-1.45917,-1.54484
1.53667,-1.50806
0.970255,-1.53289
-1.50594,-1.55201
1.52324,-1.51963
-1.52457,-1.56152
1.5341,-1.54597
1.53926,-1.515
1.44361,-1.54262
-1.34963,-1.54656
-1.49063,-1.5483
1.43539,-1.53567
-1.41733,-1.53353
1.5546,-1.49668
1.55298,-1.26103
1.53065,-1.54418
1.48575,-1.54019
1.47572,-1.52068
1.47208,-1.49352
1.41274,-1.51084
1.55165,-1.21427
1.52827,-1.38116
1.5161,-1.03681
1.50103,-0.888616
1.48473,0.617406
1.44321,-1.48159
1.41988,-1.40456
1.34288,-1.48436
-0.2229,-1.54343
1.47914,-1.49298
1.34559,-1.46947
-1.44771,-1.54048
1.46111,-1.48731
-1.40511,-1.5233
1.50536,-1.4554
1.54439,-1.28962
1.53081,-0.694082
1.44353,-1.54138
1.45369,-1.49249
1.16924,-1.5318
1.53154,-1.41616
1.11719,-1.52768
1.46217,-1.429
1.5333,-1.07718
1.52268,0.228441
1.4358,-1.52377
-1.042,-1.54792
1.4783,-1.51548
-1.25823,-1.53329
1.51579,-1.49118
1.47503,-1.47114
1.47046,-1.43447
0.768881,-1.53225
1.52106,-1.41384
1.33351,-1.48639
1.28395,-1.37185
0.297181,-1.48473
-0.0133325,-1.43048
1.54292,0.703664
1.47013,-1.50861
1.5548,1.40067
1.53305,-1.46646
1.54403,1.46656
1.51401,-1.52071
1.48061,-1.51375
1.47365,-1.46679
1.4679,-1.39824
1.53379,0.682015
1.4565,-1.50826
0.0897582,-1.53037
